,raceId,year,round,circuitId,name_x,date,resultId,driverId,constructorId,position,points,laps,rank,fastestLapTime,fastestLapSpeed,driverRef,number_y,code,forename,surname,nationality,name_y,location_x,country_x,lat_x,lng_x,circuitRef,name,location_y,country_y,lat_y,lng_y,alt,url
0,1031,2020,1,70,Austrian Grand Prix,2020-07-05,24626,822,131,1,25.0,71,2,1:07.657,229.758,bottas,77,BOT,Valtteri,Bottas,Finnish,Red Bull Ring,Spielburg,Austria,47.2197,14.7647,red_bull_ring,Red Bull Ring,Spielburg,Austria,47.2197,14.7647,\N,http://en.wikipedia.org/wiki/Red_Bull_Ring
1,1032,2020,2,70,Styrian Grand Prix,2020-07-12,24647,822,131,2,18.0,71,7,1:07.534,230.177,bottas,77,BOT,Valtteri,Bottas,Finnish,Red Bull Ring,Spielburg,Austria,47.2197,14.7647,red_bull_ring,Red Bull Ring,Spielburg,Austria,47.2197,14.7647,\N,http://en.wikipedia.org/wiki/Red_Bull_Ring
2,1031,2020,1,70,Austrian Grand Prix,2020-07-05,24627,844,6,2,18.0,71,4,1:07.901,228.933,leclerc,16,LEC,Charles,Leclerc,Monegasque,Red Bull Ring,Spielburg,Austria,47.2197,14.7647,red_bull_ring,Red Bull Ring,Spielburg,Austria,47.2197,14.7647,\N,http://en.wikipedia.org/wiki/Red_Bull_Ring
3,1032,2020,2,70,Styrian Grand Prix,2020-07-12,24664,844,6,\N,0.0,4,19,1:35.379,162.979,leclerc,16,LEC,Charles,Leclerc,Monegasque,Red Bull Ring,Spielburg,Austria,47.2197,14.7647,red_bull_ring,Red Bull Ring,Spielburg,Austria,47.2197,14.7647,\N,http://en.wikipedia.org/wiki/Red_Bull_Ring
4,1031,2020,1,70,Austrian Grand Prix,2020-07-05,24628,846,1,3,16.0,71,1,1:07.475,230.378,norris,4,NOR,Lando,Norris,British,Red Bull Ring,Spielburg,Austria,47.2197,14.7647,red_bull_ring,Red Bull Ring,Spielburg,Austria,47.2197,14.7647,\N,http://en.wikipedia.org/wiki/Red_Bull_Ring
5,1032,2020,2,70,Styrian Grand Prix,2020-07-12,24650,846,1,5,10.0,71,5,1:07.193,231.345,norris,4,NOR,Lando,Norris,British,Red Bull Ring,Spielburg,Austria,47.2197,14.7647,red_bull_ring,Red Bull Ring,Spielburg,Austria,47.2197,14.7647,\N,http://en.wikipedia.org/wiki/Red_Bull_Ring
6,1031,2020,1,70,Austrian Grand Prix,2020-07-05,24629,1,131,4,12.0,71,3,1:07.712,229.572,hamilton,44,HAM,Lewis,Hamilton,British,Red Bull Ring,Spielburg,Austria,47.2197,14.7647,red_bull_ring,Red Bull Ring,Spielburg,Austria,47.2197,14.7647,\N,http://en.wikipedia.org/wiki/Red_Bull_Ring
7,1032,2020,2,70,Styrian Grand Prix,2020-07-12,24646,1,131,1,25.0,71,3,1:06.719,232.989,hamilton,44,HAM,Lewis,Hamilton,British,Red Bull Ring,Spielburg,Austria,47.2197,14.7647,red_bull_ring,Red Bull Ring,Spielburg,Austria,47.2197,14.7647,\N,http://en.wikipedia.org/wiki/Red_Bull_Ring
8,1031,2020,1,70,Austrian Grand Prix,2020-07-05,24630,832,1,5,10.0,71,5,1:07.974,228.687,sainz,55,SAI,Carlos,Sainz,Spanish,Red Bull Ring,Spielburg,Austria,47.2197,14.7647,red_bull_ring,Red Bull Ring,Spielburg,Austria,47.2197,14.7647,\N,http://en.wikipedia.org/wiki/Red_Bull_Ring
9,1032,2020,2,70,Styrian Grand Prix,2020-07-12,24654,832,1,9,3.0,70,1,1:05.619,236.894,sainz,55,SAI,Carlos,Sainz,Spanish,Red Bull Ring,Spielburg,Austria,47.2197,14.7647,red_bull_ring,Red Bull Ring,Spielburg,Austria,47.2197,14.7647,\N,http://en.wikipedia.org/wiki/Red_Bull_Ring
